SaleID,Date,ProductID,StoreID,CustomerID,Quantity,UnitPrice,TotalAmount,Discount
1,2022-04-29 18:44:51,362,11,3733,1.772948287366754,14298.4,25350.32,0.0
2,2023-01-25 09:14:40,363,7,4569,1.0,23602.39,21242.15,0.1
3,2024-01-18 06:38:29,301,8,1628,1.0,980.15,980.15,0.0
4,2023-12-16 15:02:11,192,14,4777,1.4254762162107757,2639.77,3386.64,0.1
5,2024-05-04 13:39:40,156,8,2340,1.9974738681543536,25993.65,49325.55,0.05
6,2022-02-14 20:38:59,80,12,2085,3.7149781057829117,7118.21,25121.79,0.05
7,2024-08-16 19:48:28,450,12,1649,1.209512576293969,13935.73,16012.67,0.05
8,2023-08-31 23:18:16,474,6,626,1.0,13358.45,13358.45,0.0
9,2022-01-19 21:39:49,434,8,531,2.0,110203.67,198366.61,0.1
10,2022-10-17 02:53:03,384,2,1608,1.0,771.87,733.28,0.05
11,2024-12-20 05:51:11,64,11,334,1.0,181214.65,163093.18,0.1
12,2022-03-18 21:01:01,482,8,1305,1.0,10735.8,10199.01,0.05
13,2022-04-27 06:48:01,111,4,4893,1.0,3144.24,2987.03,0.05
14,2023-07-08 06:35:01,73,14,2714,2.773957103679482,2894.54,7627.86,0.05
15,2024-05-20 04:33:13,47,11,3033,2.0,1674.77,3349.54,0.0
16,2022-06-19 20:53:51,484,12,2111,1.5749906642586609,23420.05,36886.36,0.0
17,2022-10-16 17:18:54,117,9,3653,2.945055315398155,1137.26,3349.29,0.0
18,2024-09-08 05:17:33,149,3,1808,1.8766413342228325,9080.69,15337.08,0.1
19,2024-03-12 05:33:26,275,10,1922,1.0,18613.73,17683.04,0.05
20,2024-01-02 10:14:54,147,13,941,3.068300583476838,12579.35,34737.5,0.1
21,2022-03-23 00:36:24,73,7,3332,1.0,2894.54,2605.09,0.1
22,2023-04-01 15:14:54,4,14,128,1.2240832589548836,19347.87,23683.4,0.0
23,2023-11-24 23:32:47,375,12,920,1.0,34445.36,29278.56,0.15
24,2024-06-16 05:03:42,332,11,4349,1.4444575485190987,5783.16,7518.18,0.1
25,2024-12-30 15:43:45,51,13,3803,6.3993606760597554,5805.77,33437.89,0.1
26,2024-11-18 03:59:57,419,1,2223,1.0,18289.16,16460.24,0.1
27,2022-10-24 19:44:17,69,11,2723,1.3803925121971805,6535.7,8570.74,0.05
28,2022-07-18 17:25:46,482,13,1993,1.8021009469233078,10735.8,18379.65,0.05
29,2022-02-02 14:55:14,394,5,2573,1.7524148853874446,45072.39,75036.25,0.05
30,2024-12-15 12:50:44,46,6,3900,1.6695640684559336,7564.13,11997.36,0.05
31,2022-01-25 13:20:06,293,10,3153,1.2257671947607052,707.45,867.17,0.0
32,2022-07-24 05:57:48,153,10,1928,3.9635893339233106,119059.31,424711.99,0.1
33,2023-03-13 06:50:38,163,9,1686,1.0,1204.3,1204.3,0.0
34,2022-08-30 08:59:41,118,4,3032,1.0,10164.12,9655.91,0.05
35,2023-10-25 23:37:11,13,13,2850,4.0,15096.7,57367.46,0.05
36,2024-09-14 04:46:01,207,8,2417,1.6591029874500318,13370.56,21073.98,0.05
37,2024-12-24 15:16:38,221,9,2924,1.5050548506033694,116992.04,158471.49,0.1
38,2022-11-16 02:33:13,295,8,4516,2.0,1028.67,2057.34,0.0
39,2023-09-06 08:52:54,272,10,783,6.0,134.85,768.64,0.05
40,2023-01-17 03:23:23,66,9,1543,3.0,21997.73,59393.87,0.1
41,2022-10-08 08:05:13,365,13,4962,1.4630730901331603,609.7,847.43,0.05
42,2023-09-11 17:01:30,487,14,429,1.7112026446744428,372.66,605.81,0.05
43,2022-04-22 00:39:07,273,1,4445,1.0,5366.07,5097.77,0.05
44,2024-03-12 10:13:18,393,5,526,1.739908430295627,44691.67,77759.41,0.0
45,2023-03-09 22:53:21,63,1,3423,1.0,12381.93,10524.64,0.15
46,2023-12-16 22:31:41,467,6,285,1.6826911299742062,7212.86,12137.02,0.0
47,2023-11-09 20:56:18,51,14,1523,2.7183979757963543,5805.77,15782.39,0.0
48,2022-01-17 07:00:27,356,10,3991,2.0,25038.12,47572.43,0.05
49,2023-08-16 06:53:44,39,8,2881,1.0,4514.27,4062.84,0.1
50,2024-07-14 03:03:54,191,5,3658,1.432884422895729,10316.59,14782.48,0.0
51,2024-10-19 17:30:19,69,1,753,1.5637309495058844,6535.7,10220.08,0.0
52,2023-01-07 18:56:48,332,11,4406,2.4176753422239505,5783.16,13981.8,0.0
53,2024-02-11 00:22:32,339,7,2419,1.9278499568156078,20708.03,35929.78,0.1
54,2022-06-09 00:37:21,154,15,2755,3.0,5778.98,17336.94,0.0
55,2024-12-09 11:39:52,470,6,2344,3.909930405672544,131.83,438.13,0.15
56,2024-11-01 12:15:20,299,2,4739,5.38354261044436,50732.12,259462.6,0.05
57,2022-09-20 12:37:58,421,6,645,1.9228700033766,24147.9,41789.95,0.1
58,2022-06-09 14:09:18,229,5,4152,1.896359254155618,15165.16,25882.73,0.1
59,2024-04-30 09:38:54,50,1,1211,1.0,6596.91,5937.22,0.1
60,2022-12-09 17:41:29,148,10,2378,1.7318341164277793,10332.75,16105.15,0.1
61,2023-05-08 22:17:02,276,1,2136,1.0,41523.85,39447.66,0.05
62,2022-11-12 19:02:33,190,10,2944,1.4482509886472936,2421.8,3332.01,0.05
63,2024-04-18 16:37:24,301,15,4263,1.7734176378538367,980.15,1477.48,0.15
64,2023-03-09 22:39:22,429,8,2936,3.0,16296.8,48890.4,0.0
65,2022-06-27 12:06:13,484,7,1775,3.9857361810528276,23420.05,79344.22,0.15
66,2022-09-28 09:45:40,199,5,2374,1.0,22917.48,19479.86,0.15
67,2023-11-14 20:05:59,248,5,2531,5.051636638776645,103.58,523.25,0.0
68,2022-12-09 07:42:13,44,2,960,1.0,13921.94,12529.75,0.1
69,2022-07-09 01:56:58,158,3,1854,1.6553832583382093,16926.72,25218.19,0.1
70,2022-02-11 01:49:50,372,11,4880,1.0,22345.83,21228.54,0.05
71,2023-10-06 15:01:24,278,3,616,2.4625356642876945,3559.18,7888.15,0.1
72,2022-10-29 02:14:00,9,5,2420,1.7170393102228287,1281.76,2090.79,0.05
73,2024-05-22 05:46:25,52,12,1896,3.0,1029.12,2932.99,0.05
74,2022-05-26 18:44:31,392,11,4804,1.8741115791299816,407.07,762.89,0.0
75,2023-05-28 20:54:06,6,1,4552,1.5128722942651958,2043.52,2937.01,0.05
76,2022-07-13 21:12:03,206,6,3766,1.0,3714.42,3714.42,0.0
77,2024-03-15 08:27:02,42,9,430,1.0,200492.06,180442.85,0.1
78,2022-01-11 15:53:50,240,10,3083,2.6873249757285667,51425.06,138195.85,0.0
79,2023-03-08 17:10:53,295,6,990,3.0913225824574013,1028.67,3020.95,0.05
80,2024-07-03 10:14:54,360,7,2167,1.727264029881026,17976.71,27945.47,0.1
81,2024-11-16 22:58:48,424,7,1720,1.2764273368927914,51360.83,59002.53,0.1
82,2023-11-01 17:32:02,492,4,362,1.234931571720214,6005.15,6303.56,0.15
83,2022-12-02 00:31:53,138,13,2242,1.0,2872.89,2441.96,0.15
84,2024-01-05 17:09:37,327,7,3438,1.9060446657424164,4775.62,8192.29,0.1
85,2024-01-17 13:18:47,54,11,2301,1.733325552441456,29161.27,48018.68,0.05
86,2022-03-06 06:23:31,392,15,2488,1.781230203642901,407.07,688.83,0.05
87,2024-11-01 11:51:07,430,4,203,3.8539783536611507,6350.62,23251.39,0.05
88,2022-09-19 12:08:56,60,15,336,5.428465918651054,13671.86,66795.5,0.1
89,2024-02-12 07:38:30,246,3,2348,1.0,3280.78,3280.78,0.0
90,2022-03-15 06:54:24,224,3,126,1.0,937.29,890.43,0.05
91,2022-02-15 10:22:35,148,13,3433,1.6035158739479725,10332.75,16568.73,0.0
92,2024-09-09 02:46:39,20,8,3336,1.0,12299.92,11684.92,0.05
93,2022-09-29 08:27:28,224,1,946,2.0,937.29,1780.85,0.05
94,2022-07-02 16:30:40,199,6,3908,1.3658976763848338,22917.48,29737.79,0.05
95,2022-01-09 02:54:09,426,8,3577,1.2213743035387723,6301.84,7312.06,0.05
96,2022-02-12 21:17:02,62,5,1560,5.221492959554245,2519.73,11841.08,0.1
97,2024-10-23 01:56:29,397,3,2476,1.0,7091.33,7091.33,0.0
98,2023-06-14 08:01:17,240,2,3744,3.0,51425.06,138847.66,0.1
99,2024-05-02 19:41:12,295,2,3991,1.3555228674213549,1028.67,1324.67,0.05
100,2022-02-16 22:16:39,425,6,2337,1.0,16216.41,15405.59,0.05
101,2024-06-26 02:22:18,60,13,2822,1.0,13671.86,12988.27,0.05
102,2024-08-01 16:30:04,107,2,891,1.3091844578213117,11258.6,14002.6,0.05
103,2024-04-04 07:42:14,208,1,1016,1.0,15021.06,13518.95,0.1
104,2022-09-22 22:30:01,259,7,4939,1.0,9116.01,9116.01,0.0
105,2023-08-27 21:33:25,84,1,4688,2.532077807765347,124585.39,299686.91,0.05
106,2022-09-11 20:19:45,167,7,3144,1.7708652314544822,21128.75,35545.36,0.05
107,2023-10-27 21:44:02,80,3,2812,1.0,7118.21,7118.21,0.0
108,2023-09-25 12:55:12,365,8,2235,2.8466270189471548,609.7,1648.81,0.05
109,2023-05-02 18:28:00,496,1,3342,1.870796680558122,1783.18,3169.17,0.05
110,2023-10-08 16:37:57,441,5,4490,1.3417892831214944,14381.68,18332.32,0.05
111,2024-05-12 11:49:50,10,12,3476,1.7931571864536373,74307.61,119920.7,0.1
112,2022-02-24 16:04:32,223,10,4968,3.4742274494598986,16240.51,50780.9,0.1
113,2023-03-19 06:52:47,247,11,4575,1.4186018118470698,25614.3,30886.02,0.15
114,2022-08-14 05:31:11,299,4,292,2.6847043659290364,50732.12,115770.63,0.15
115,2024-04-26 06:36:38,275,4,144,1.0,18613.73,17683.04,0.05
116,2023-07-11 02:40:10,400,5,347,3.0,33095.29,84392.99,0.15
117,2022-01-20 08:41:46,400,11,4114,2.0,33095.29,59571.52,0.1
118,2022-11-09 17:10:53,288,3,331,3.714614453968426,1531.01,4834.05,0.15
119,2024-04-08 03:52:56,96,13,1788,4.0,9533.66,34321.18,0.1
120,2024-04-22 10:49:31,428,1,2439,1.7300319535518314,482.59,751.41,0.1
121,2023-07-27 23:05:59,100,12,4298,1.0,309.31,309.31,0.0
122,2022-12-16 05:29:49,340,3,832,1.0,5210.7,4950.16,0.05
123,2023-11-07 02:40:06,278,10,3551,1.0,3559.18,3203.26,0.1
124,2024-01-03 20:13:50,419,15,2265,1.6785642802993401,18289.16,30699.53,0.0
125,2022-04-21 00:54:27,487,7,1477,2.0,372.66,670.79,0.1
126,2023-12-10 09:06:17,167,9,4017,2.7227808824637,21128.75,54652.51,0.05
127,2023-08-29 05:26:35,199,9,4873,1.0,22917.48,20625.73,0.1
128,2023-05-10 16:09:06,3,15,1486,1.35998855287663,86727.32,112050.75,0.05
129,2022-11-24 12:18:15,493,3,73,1.2223553358870185,13545.84,14074.16,0.15
130,2023-02-27 02:39:48,305,15,4085,1.0,96620.32,86958.29,0.1
131,2024-01-08 14:58:30,379,5,178,1.7439676205453245,12211.21,19166.36,0.1
132,2022-12-21 04:27:01,58,6,310,1.0,10993.12,9893.81,0.1
133,2024-03-14 14:34:15,229,9,2959,1.2772825646217116,15165.16,18401.68,0.05
134,2023-01-13 23:35:37,11,2,1950,1.0,3380.58,3211.55,0.05
135,2023-07-21 03:45:39,161,8,2972,1.0,459.26,436.3,0.05
136,2022-10-03 23:56:21,238,9,2140,2.0,14536.89,26166.4,0.1
137,2024-10-15 04:08:35,302,13,578,1.0,1267.65,1204.27,0.05
138,2022-06-14 11:20:41,462,2,2371,1.8524994690843908,37152.74,68825.43,0.0
139,2023-04-05 07:43:35,459,10,3372,1.0,5643.43,5643.43,0.0
140,2024-09-15 02:08:11,136,9,3030,5.099216047652709,780.56,3781.23,0.05
141,2022-04-14 20:12:41,161,3,2899,1.5160511370833112,459.26,696.26,0.0
142,2024-03-28 08:41:59,301,5,4721,1.0,980.15,882.14,0.1
143,2024-09-22 17:07:21,500,4,4466,1.2847082516942996,21906.92,25329.6,0.1
144,2022-02-18 14:15:29,474,5,209,1.2119956576951711,13358.45,14571.35,0.1
